year,period,periodName,latest,value,footnotes,calculations
2015,M08,August,,238.033,[{}],"{'net_changes': {}, 'pct_changes': {'1': '0.0', '3': '0.4', '6': '1.1', '12': '0.2'}}"
2015,M07,July,,238.034,[{}],"{'net_changes': {}, 'pct_changes': {'1': '0.2', '3': '0.8', '6': '1.4', '12': '0.2'}}"
2015,M06,June,,237.657,[{}],"{'net_changes': {}, 'pct_changes': {'1': '0.3', '3': '0.7', '6': '0.6', '12': '0.2'}}"
2015,M05,May,,237.001,[{}],"{'net_changes': {}, 'pct_changes': {'1': '0.3', '3': '0.7', '6': '0.0', '12': '0.0'}}"
2015,M04,April,,236.222,[{}],"{'net_changes': {}, 'pct_changes': {'1': '0.1', '3': '0.6', '6': '-0.5', '12': '-0.1'}}"
2015,M03,March,,235.976,[{}],"{'net_changes': {}, 'pct_changes': {'1': '0.3', '3': '-0.1', '6': '-0.6', '12': '0.0'}}"
2015,M02,February,,235.342,[{}],"{'net_changes': {}, 'pct_changes': {'1': '0.3', '3': '-0.7', '6': '-0.9', '12': '-0.1'}}"
2015,M01,January,,234.747,[{}],"{'net_changes': {}, 'pct_changes': {'1': '-0.6', '3': '-1.1', '6': '-1.2', '12': '-0.2'}}"
2014,M12,December,,236.252,[{}],"{'net_changes': {}, 'pct_changes': {'1': '-0.3', '3': '-0.5', '6': '-0.4', '12': '0.7'}}"
2014,M11,November,,236.983,[{}],"{'net_changes': {}, 'pct_changes': {'1': '-0.2', '3': '-0.2', '6': '0.0', '12': '1.2'}}"
2014,M10,October,,237.430,[{}],"{'net_changes': {}, 'pct_changes': {'1': '0.0', '3': '0.0', '6': '0.4', '12': '1.6'}}"
2014,M09,September,,237.477,[{}],"{'net_changes': {}, 'pct_changes': {'1': '0.0', '3': '0.1', '6': '0.6', '12': '1.7'}}"
2014,M08,August,,237.460,[{}],"{'net_changes': {}, 'pct_changes': {'1': '0.0', '3': '0.2', '6': '0.8', '12': '1.7'}}"
2014,M07,July,,237.498,[{}],"{'net_changes': {}, 'pct_changes': {'1': '0.1', '3': '0.4', '6': '0.9', '12': '2.0'}}"
2014,M06,June,,237.231,[{}],"{'net_changes': {}, 'pct_changes': {'1': '0.1', '3': '0.5', '6': '1.1', '12': '2.1'}}"
2014,M05,May,,236.918,[{}],"{'net_changes': {}, 'pct_changes': {'1': '0.2', '3': '0.6', '6': '1.2', '12': '2.2'}}"
2014,M04,April,,236.468,[{}],"{'net_changes': {}, 'pct_changes': {'1': '0.2', '3': '0.5', '6': '1.2', '12': '2.0'}}"
2014,M03,March,,236.028,[{}],"{'net_changes': {}, 'pct_changes': {'1': '0.2', '3': '0.6', '6': '1.1', '12': '1.6'}}"
2014,M02,February,,235.547,[{}],"{'net_changes': {}, 'pct_changes': {'1': '0.1', '3': '0.6', '6': '0.9', '12': '1.1'}}"
2014,M01,January,,235.288,[{}],"{'net_changes': {}, 'pct_changes': {'1': '0.2', '3': '0.7', '6': '1.0', '12': '1.6'}}"
2013,M12,December,,234.719,[{}],"{'net_changes': {}, 'pct_changes': {'1': '0.3', '3': '0.5', '6': '1.0', '12': '1.5'}}"
2013,M11,November,,234.100,[{}],"{'net_changes': {}, 'pct_changes': {'1': '0.2', '3': '0.3', '6': '1.0', '12': '1.2'}}"
2013,M10,October,,233.669,[{}],"{'net_changes': {}, 'pct_changes': {'1': '0.1', '3': '0.3', '6': '0.8', '12': '0.9'}}"
2013,M09,September,,233.544,[{}],"{'net_changes': {}, 'pct_changes': {'1': '0.0', '3': '0.5', '6': '0.5', '12': '1.1'}}"
2013,M08,August,,233.456,[{}],"{'net_changes': {}, 'pct_changes': {'1': '0.2', '3': '0.7', '6': '0.2', '12': '1.5'}}"
2013,M07,July,,232.900,[{}],"{'net_changes': {}, 'pct_changes': {'1': '0.2', '3': '0.5', '6': '0.5', '12': '1.9'}}"
2013,M06,June,,232.445,[{}],"{'net_changes': {}, 'pct_changes': {'1': '0.2', '3': '0.1', '6': '0.5', '12': '1.7'}}"
2013,M05,May,,231.893,[{}],"{'net_changes': {}, 'pct_changes': {'1': '0.0', '3': '-0.4', '6': '0.3', '12': '1.4'}}"
2013,M04,April,,231.797,[{}],"{'net_changes': {}, 'pct_changes': {'1': '-0.2', '3': '0.1', '6': '0.1', '12': '1.1'}}"
2013,M03,March,,232.282,[{}],"{'net_changes': {}, 'pct_changes': {'1': '-0.3', '3': '0.5', '6': '0.5', '12': '1.5'}}"
2013,M02,February,,232.937,[{}],"{'net_changes': {}, 'pct_changes': {'1': '0.5', '3': '0.7', '6': '1.3', '12': '2.0'}}"
2013,M01,January,,231.679,[{}],"{'net_changes': {}, 'pct_changes': {'1': '0.2', '3': '0.0', '6': '1.4', '12': '1.7'}}"
2012,M12,December,,231.221,[{}],"{'net_changes': {}, 'pct_changes': {'1': '0.0', '3': '0.1', '6': '1.2', '12': '1.8'}}"
2012,M11,November,,231.249,[{}],"{'net_changes': {}, 'pct_changes': {'1': '-0.2', '3': '0.6', '6': '1.1', '12': '1.8'}}"
2012,M10,October,,231.638,[{}],"{'net_changes': {}, 'pct_changes': {'1': '0.3', '3': '1.3', '6': '1.1', '12': '2.2'}}"
2012,M09,September,,231.015,[{}],"{'net_changes': {}, 'pct_changes': {'1': '0.5', '3': '1.1', '6': '1.0', '12': '1.9'}}"
2012,M08,August,,229.918,[{}],"{'net_changes': {}, 'pct_changes': {'1': '0.6', '3': '0.5', '6': '0.7', '12': '1.7'}}"
2012,M07,July,,228.590,[{}],"{'net_changes': {}, 'pct_changes': {'1': '0.0', '3': '-0.3', '6': '0.3', '12': '1.4'}}"
2012,M06,June,,228.524,[{}],"{'net_changes': {}, 'pct_changes': {'1': '-0.1', '3': '-0.1', '6': '0.6', '12': '1.7'}}"
2012,M05,May,,228.713,[{}],"{'net_changes': {}, 'pct_changes': {'1': '-0.2', '3': '0.2', '6': '0.7', '12': '1.7'}}"
