year,period,periodName,latest,value,footnotes,calculations,DateTime,MonthOverMonth,3-Month,6-Month,YearOverYear
2022,M12,December,,212.867,[{}],"{'net_changes': {}, 'pct_changes': {'1': '0.4', '3': '-2.5', '6': '-0.3', '12': '12.4'}}",2022-12-01,0.4,-2.5,-0.3,12.4
2022,M11,November,,211.966,[{}],"{'net_changes': {}, 'pct_changes': {'1': '-1.5', '3': '-3.3', '6': '3.9', '12': '12.3'}}",2022-11-01,-1.5,-3.3,3.9,12.3
2022,M10,October,,215.102,[{}],"{'net_changes': {}, 'pct_changes': {'1': '-1.5', '3': '-0.3', '6': '6.7', '12': '13.5'}}",2022-10-01,-1.5,-0.3,6.7,13.5
2022,M09,September,,218.395,[{}],"{'net_changes': {}, 'pct_changes': {'1': '-0.4', '3': '2.3', '6': '8.8', '12': '12.5'}}",2022-09-01,-0.4,2.3,8.8,12.5
2022,M08,August,,219.299,[{}],"{'net_changes': {}, 'pct_changes': {'1': '1.6', '3': '7.5', '6': '11.8', '12': '12.6'}}",2022-08-01,1.6,7.5,11.8,12.6
2022,M07,July,,215.784,[{}],"{'net_changes': {}, 'pct_changes': {'1': '1.1', '3': '7.1', '6': '9.9', '12': '11.9'}}",2022-07-01,1.1,7.1,9.9,11.9
2022,M06,June,,213.459,[{}],"{'net_changes': {}, 'pct_changes': {'1': '4.6', '3': '6.3', '6': '12.7', '12': '11.3'}}",2022-06-01,4.6,6.3,12.7,11.3
2022,M05,May,,203.988,[{}],"{'net_changes': {}, 'pct_changes': {'1': '1.2', '3': '4.0', '6': '8.1', '12': '10.7'}}",2022-05-01,1.2,4.0,8.1,10.7
2022,M04,April,,201.572,[{}],"{'net_changes': {}, 'pct_changes': {'1': '0.4', '3': '2.7', '6': '6.4', '12': '10.4'}}",2022-04-01,0.4,2.7,6.4,10.4
2022,M03,March,,200.748,[{}],"{'net_changes': {}, 'pct_changes': {'1': '2.4', '3': '6.0', '6': '3.4', '12': '8.7'}}",2022-03-01,2.4,6.0,3.4,8.7
2022,M02,February,,196.13,[{}],"{'net_changes': {}, 'pct_changes': {'1': '-0.1', '3': '3.9', '6': '0.7', '12': '7.5'}}",2022-02-01,-0.1,3.9,0.7,7.5
2022,M01,January,,196.353,[{}],"{'net_changes': {}, 'pct_changes': {'1': '3.7', '3': '3.6', '6': '1.8', '12': '8.5'}}",2022-01-01,3.7,3.6,1.8,8.5
2021,M12,December,,189.358,[{}],"{'net_changes': {}, 'pct_changes': {'1': '0.3', '3': '-2.4', '6': '-1.3', '12': '6.2'}}",2021-12-01,0.3,-2.4,-1.3,6.2
2021,M11,November,,188.77,[{}],"{'net_changes': {}, 'pct_changes': {'1': '-0.4', '3': '-3.1', '6': '2.5', '12': '5.5'}}",2021-11-01,-0.4,-3.1,2.5,5.5
2021,M10,October,,189.46,[{}],"{'net_changes': {}, 'pct_changes': {'1': '-2.4', '3': '-1.8', '6': '3.8', '12': '5.4'}}",2021-10-01,-2.4,-1.8,3.8,5.4
2021,M09,September,,194.071,[{}],"{'net_changes': {}, 'pct_changes': {'1': '-0.3', '3': '1.2', '6': '5.1', '12': '4.5'}}",2021-09-01,-0.3,1.2,5.1,4.5
2021,M08,August,,194.749,[{}],"{'net_changes': {}, 'pct_changes': {'1': '0.9', '3': '5.7', '6': '6.7', '12': '4.9'}}",2021-08-01,0.9,5.7,6.7,4.9
2021,M07,July,,192.92,[{}],"{'net_changes': {}, 'pct_changes': {'1': '0.6', '3': '5.7', '6': '6.6', '12': '3.6'}}",2021-07-01,0.6,5.7,6.6,3.6
2021,M06,June,,191.8,[{}],"{'net_changes': {}, 'pct_changes': {'1': '4.1', '3': '3.8', '6': '7.6', '12': '3.6'}}",2021-06-01,4.1,3.8,7.6,3.6
2021,M05,May,,184.2,[{}],"{'net_changes': {}, 'pct_changes': {'1': '0.9', '3': '0.9', '6': '2.9', '12': '2.6'}}",2021-05-01,0.9,0.9,2.9,2.6
2021,M04,April,,182.6,[{}],"{'net_changes': {}, 'pct_changes': {'1': '-1.1', '3': '0.9', '6': '1.6', '12': '2.3'}}",2021-04-01,-1.1,0.9,1.6,2.3
2021,M03,March,,184.7,[{}],"{'net_changes': {}, 'pct_changes': {'1': '1.2', '3': '3.6', '6': '-0.5', '12': '3.0'}}",2021-03-01,1.2,3.6,-0.5,3.0
2021,M02,February,,182.5,[{}],"{'net_changes': {}, 'pct_changes': {'1': '0.9', '3': '2.0', '6': '-1.7', '12': '1.5'}}",2021-02-01,0.9,2.0,-1.7,1.5
2021,M01,January,,180.9,[{}],"{'net_changes': {}, 'pct_changes': {'1': '1.5', '3': '0.7', '6': '-2.8', '12': '0.3'}}",2021-01-01,1.5,0.7,-2.8,0.3
2020,M12,December,,178.3,[{}],"{'net_changes': {}, 'pct_changes': {'1': '-0.4', '3': '-4.0', '6': '-3.7', '12': '0.2'}}",2020-12-01,-0.4,-4.0,-3.7,0.2
2020,M11,November,,179.0,[{}],"{'net_changes': {}, 'pct_changes': {'1': '-0.4', '3': '-3.6', '6': '-0.3', '12': '0.6'}}",2020-11-01,-0.4,-3.6,-0.3,0.6
2020,M10,October,,179.7,[{}],"{'net_changes': {}, 'pct_changes': {'1': '-3.2', '3': '-3.5', '6': '0.7', '12': '-0.6'}}",2020-10-01,-3.2,-3.5,0.7,-0.6
2020,M09,September,,185.7,[{}],"{'net_changes': {}, 'pct_changes': {'1': '0.1', '3': '0.3', '6': '3.6', '12': '-0.7'}}",2020-09-01,0.1,0.3,3.6,-0.7
2020,M08,August,,185.6,[{}],"{'net_changes': {}, 'pct_changes': {'1': '-0.3', '3': '3.4', '6': '3.2', '12': '-1.4'}}",2020-08-01,-0.3,3.4,3.2,-1.4
